datetime,symbol,open,high,low,close,volume
2015-01-01 09:15:00,NSE:NIFTY_500,6767.6001,6794.25,6755.0,6786.1001,0.0
2015-01-02 09:15:00,NSE:NIFTY_500,6792.3999,6883.0498,6792.3999,6866.4502,0.0
2015-01-05 09:15:00,NSE:NIFTY_500,6877.3501,6913.25,6848.25,6857.4502,0.0
2015-01-06 09:15:00,NSE:NIFTY_500,6817.6499,6817.6499,6646.3999,6656.7998,0.0
2015-01-07 09:15:00,NSE:NIFTY_500,6653.6499,6680.5,6605.3999,6644.9502,0.0
2015-01-08 09:15:00,NSE:NIFTY_500,6715.3501,6758.25,6708.0,6755.4502,0.0
2015-01-09 09:15:00,NSE:NIFTY_500,6798.4502,6811.2998,6727.3501,6783.0,0.0
2015-01-12 09:15:00,NSE:NIFTY_500,6790.6001,6819.1001,6763.2002,6815.0498,0.0
2015-01-13 09:15:00,NSE:NIFTY_500,6835.25,6846.7002,6777.7002,6801.3999,0.0
2015-01-14 09:15:00,NSE:NIFTY_500,6810.2002,6828.8999,6759.5498,6787.1499,0.0
2015-01-15 09:15:00,NSE:NIFTY_500,6897.1499,6962.1499,6870.9502,6937.5,0.0
2015-01-16 09:15:00,NSE:NIFTY_500,6945.1001,6970.9502,6913.3501,6961.4502,0.0
2015-01-19 09:15:00,NSE:NIFTY_500,6988.2998,7013.2998,6984.4502,6992.1499,0.0
2015-01-20 09:15:00,NSE:NIFTY_500,7013.1499,7088.5498,7013.1499,7080.6499,0.0
2015-01-21 09:15:00,NSE:NIFTY_500,7100.5,7117.0,7071.8999,7099.6001,0.0
2015-01-22 09:15:00,NSE:NIFTY_500,7111.6499,7136.1001,7092.9502,7121.8501,0.0
2015-01-23 09:15:00,NSE:NIFTY_500,7176.0,7191.8999,7137.4502,7170.25,0.0
2015-01-27 09:15:00,NSE:NIFTY_500,7197.75,7236.7998,7169.7998,7229.0498,0.0
2015-01-28 09:15:00,NSE:NIFTY_500,7224.75,7290.4502,7210.6499,7241.5498,0.0
2015-01-29 09:15:00,NSE:NIFTY_500,7234.3999,7264.5498,7203.25,7257.25,0.0
2015-01-30 09:15:00,NSE:NIFTY_500,7293.25,7293.25,7140.1499,7166.7002,0.0
2015-02-02 09:15:00,NSE:NIFTY_500,7164.6001,7196.6001,7142.0,7172.8999,0.0
2015-02-03 09:15:00,NSE:NIFTY_500,7196.75,7203.75,7124.2002,7137.4502,0.0
2015-02-04 09:15:00,NSE:NIFTY_500,7164.7998,7164.7998,7095.2998,7108.75,0.0
2015-02-05 09:15:00,NSE:NIFTY_500,7116.7998,7176.7002,7056.3999,7076.6499,0.0
