date,stocks,count
2016-10-28,"ADANIENSOL, ADANIPORTS, ADANITRANS, BAJAJFINSV, BPCL, CANBK, CASTROLIND, DABUR, DCBBANK, DELTACORP, DRREDDY, EXIDEIND, FEDERALBNK, GAIL, GNFC, GSFC, HINDZINC, ICICIBANK, IDFCFIRSTB, IOC, KOTAKBANK, LICHSGFIN, LT, MANAPPURAM, MANINFRA, MOTHERSON, NATIONALUM, NHPC, NMDC, ONGC, PETRONET, PFC, PIDILITIND, PNB, RADICO, RAIN, RAYMOND, RECLTD, SAIL, SBIN, SJVN, SOUTHBANK, SRF, TATACOMM, TATAPOWER, TATASTEEL, TVSMOTOR, UNIONBANK, UPL, VEDL, VGUARD, VOLTAS",52
2016-11-30,"ADANIENSOL, ADANIPORTS, ADANIPOWER, ADANITRANS, BANKBARODA, BEL, BPCL, CANBK, CGPOWER, DRREDDY, GAIL, GNFC, GSFC, HINDALCO, HINDZINC, INDUSTOWER, IOC, JSWSTEEL, LICHSGFIN, NATIONALUM, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, POWERGRID, RECLTD, SAIL, SBIN, TATACOMM, TATASTEEL, TECHM, TVSMOTOR, UNIONBANK, VEDL",36
2016-12-30,"ADANIENSOL, ADANIENT, ADANIPOWER, ADANITRANS, BEL, BIOCON, CESC, CIPLA, GAIL, GSFC, HCLTECH, IOC, ITC, LICHSGFIN, MOTHERSON, NATIONALUM, NBCC, NHPC, NTPC, POWERGRID, RELIANCE, SONATSOFTW, SWANENERGY, TATACHEM, TATAPOWER, TECHM, TITAGARH",27
2017-01-31,"ADANIENT, ADANIPORTS, ADANIPOWER, BAJFINANCE, BANKBARODA, BEL, BEML, BHARTIARTL, BHEL, BIOCON, BPCL, CESC, CHAMBLFERT, DCBBANK, DELTACORP, EXIDEIND, FEDERALBNK, GAIL, GMRINFRA, GNFC, GRASIM, GSFC, HAVELLS, HDFCBANK, HINDALCO, HINDZINC, ICICIBANK, IDBI, INDUSINDBK, IOC, ITC, JINDALSTEL, JSWSTEEL, KOTAKBANK, LICHSGFIN, LT, LTFOODS, MANAPPURAM, MOTHERSON, NATIONALUM, NBCC, NFL, NHPC, NMDC, NTPC, ONGC, PETRONET, PFC, PNB, POWERGRID, PTC, RAIN, RCF, RECLTD, RELIANCE, SAIL, SBIN, SONATSOFTW, SRF, SWANENERGY, TATACHEM, TATACOMM, TATAMOTORS, TATAPOWER, TATASTEEL, TVSMOTOR, UNIONBANK, UPL, VEDL, VGUARD, YESBANK, ZEEL",72
2017-02-28,"ABFRL, ADANIENT, ADANIPORTS, ADANIPOWER, APOLLOTYRE, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BHEL, BIOCON, CANBK, CESC, CHAMBLFERT, CIPLA, COALINDIA, DCBBANK, DELTACORP, DHANBANK, DLF, EXIDEIND, FEDERALBNK, GAIL, GMRINFRA, GRASIM, HAVELLS, HCLTECH, HDFCBANK, HINDALCO, HINDZINC, ICICIBANK, IDBI, IDFCFIRSTB, INDUSINDBK, IOC, ITC, JINDALSTEL, JSWSTEEL, KARURVYSYA, KOTAKBANK, LICHSGFIN, LT, LTFOODS, MANAPPURAM, MARICO, MOTHERSON, NATIONALUM, NFL, NHPC, NMDC, PETRONET, PFC, PNB, PTC, RADICO, RAIN, RAYMOND, RCF, RECLTD, RELIANCE, SAIL, SBIN, SJVN, SOUTHBANK, TATACHEM, TATACOMM, TATAPOWER, TATASTEEL, TECHM, TITAN, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, YESBANK, ZEEL, ZYDUSLIFE",78
2017-03-31,"ABFRL, ADANIENT, ADANIPORTS, ADANIPOWER, APOLLOTYRE, BAJFINANCE, BANKBARODA, BEL, BHEL, BIOCON, CANBK, CASTROLIND, CENTRALBK, CESC, CGPOWER, CIPLA, CROMPTON, DCBBANK, DELTACORP, DHANBANK, DLF, EXIDEIND, FEDERALBNK, GAIL, GMRINFRA, GRASIM, HCLTECH, HDFCBANK, HINDALCO, HINDUNILVR, INDHOTEL, INDUSINDBK, IOC, ITC, JINDALSTEL, JSWSTEEL, JUBLFOOD, KARURVYSYA, KEC, KOTAKBANK, LICHSGFIN, LT, MANAPPURAM, MANINFRA, MARICO, MOTHERSON, NATIONALUM, NFL, NHPC, PETRONET, PFC, PNB, PTC, RAIN, RAYMOND, RCF, RECLTD, RELIANCE, SBIN, SOUTHBANK, TATACHEM, TATAPOWER, TATASTEEL, TITAN, TORNTPOWER, TVSMOTOR, UNIONBANK, UPL, VEDL, VOLTAS, YESBANK, ZEEL",72
2017-04-28,"ABFRL, ADANIENSOL, ADANIENT, ADANIPORTS, ADANITRANS, ANANTRAJ, APOLLOTYRE, BAJAJFINSV, BAJFINANCE, BANKBARODA, BEL, BHEL, BPCL, CANBK, CASTROLIND, CESC, CGPOWER, CHAMBLFERT, CHOLAFIN, CONCOR, CROMPTON, DCBBANK, DHANBANK, DLF, EXIDEIND, FEDERALBNK, GAIL, GMRINFRA, GRASIM, GSFC, HDFCBANK, HINDALCO, HINDUNILVR, ICICIBANK, IDBI, IDFCFIRSTB, INDIANB, INDUSINDBK, IOB, IOC, ITC, JSWSTEEL, KARURVYSYA, KOTAKBANK, LICHSGFIN, LT, MANINFRA, MARICO, MFSL, MOTHERSON, MUTHOOTFIN, NBCC, NETWORK18, NFL, NHPC, NTPC, PETRONET, PFC, PNB, POWERGRID, PTC, RAIN, RAYMOND, RCF, RECLTD, RELIANCE, SBIN, SOUTHBANK, SRF, TATACHEM, TITAN, TORNTPOWER, TVSMOTOR, UNIONBANK, UPL, VOLTAS, YESBANK, ZEEL",78
2017-05-31,"ABFRL, ADANIENSOL, ADANIPORTS, ADANITRANS, ANANTRAJ, APOLLOTYRE, ASHOKLEY, BAJFINANCE, BEL, BHARTIARTL, BPCL, CANBK, CESC, CGPOWER, CHAMBLFERT, COFORGE, CROMPTON, DCBBANK, DHANBANK, DLF, FEDERALBNK, GAIL, GODREJCP, GRASIM, GSFC, HAVELLS, HCLTECH, HDFCBANK, HINDALCO, HINDUNILVR, ICICIBANK, INDIANB, IOC, ITC, JINDALSTEL, JSWSTEEL, KOTAKBANK, LICHSGFIN, LT, LTFOODS, MANINFRA, MARICO, MOTHERSON, NBCC, NETWORK18, NFL, PETRONET, POWERGRID, RCF, SOUTHBANK, TATACHEM, TATACOMM, TATASTEEL, TVSMOTOR, UPL, VOLTAS, ZYDUSLIFE",57
2017-06-30,"ABFRL, ADANIENSOL, ADANIENT, ADANIPORTS, ADANITRANS, ASHOKLEY, BAJFINANCE, BHARTIARTL, CHOLAFIN, COFORGE, DCBBANK, DHANBANK, FEDERALBNK, GMRINFRA, GRASIM, HCLTECH, HDFCBANK, HINDUNILVR, ICICIBANK, INDUSTOWER, ITC, JINDALSTEL, JSWSTEEL, KARURVYSYA, KOTAKBANK, LICHSGFIN, MANAPPURAM, MANINFRA, MFSL, MOTHERSON, NBCC, POWERGRID, RAIN, RELIANCE, SAREGAMA, SOUTHBANK, TATACOMM, TATAELXSI, TATASTEEL, TITAN, TVSMOTOR, UPL, VEDL, VOLTAS, ZYDUSLIFE",45
2017-07-31,"ADANIENT, ADANIPORTS, ADANIPOWER, AMBUJACEM, ANANTRAJ, APOLLOTYRE, ASHOKLEY, BAJAJFINSV, BAJFINANCE, BALAJITELE, BEL, BHARTIARTL, BIOCON, BPCL, CANBK, CESC, CGPOWER, CHAMBLFERT, DABUR, DHANBANK, DLF, FEDERALBNK, GMRINFRA, GRAPHITE, GRASIM, GSFC, HCLTECH, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, ICICIPRULI, INDIANB, INDUSINDBK, INDUSTOWER, JINDALSTEL, JSWSTEEL, JUBLFOOD, KARURVYSYA, KEC, KOTAKBANK, LT, M&M, MANAPPURAM, MANINFRA, MOTHERSON, NATIONALUM, NBCC, NETWORK18, NTPC, PNB, POWERGRID, PTC, RAIN, RAYMOND, RBLBANK, RCF, RELIANCE, SAIL, SAREGAMA, SBIN, SOUTHBANK, TATAELXSI, TATAPOWER, TATASTEEL, TCS, TITAN, UNIONBANK, UPL, VEDL, VOLTAS, WELCORP, WIPRO, YESBANK, ZYDUSLIFE",77
