date,stocks
2015-10-30,"PRAJIND (5.75), IOC (2.70), BPCL (2.10), INDUSINDBK (1.66), RELIANCE (1.37), BEL (1.30), BAJFINANCE (1.05)"
2015-11-30,
2015-12-31,"INTELLECT (52.85), APLAPOLLO (42.22), PETRONET (36.23), INDHOTEL (30.15), MANINFRA (25.51), RCOM (25.41), SJVN (22.77), HFCL (21.06), VOLTAS (17.64), HAVELLS (17.57), BEL (17.54), INDUSTOWER (17.34), NETWORK18 (17.13), TATAELXSI (16.37), RELIANCE (14.92), BAJFINANCE (14.47), BIOCON (13.97), JSWSTEEL (13.58), AUROPHARMA (11.73), IDBI (10.84), CGPOWER (10.64), MARICO (10.06), ZEEL (9.65), PRAJIND (9.32), LICHSGFIN (7.09), IOC (5.54)"
2016-01-29,
2016-02-29,
2016-03-31,"INTELLECT (4.79), RPOWER (3.21), BSOFT (3.08), BEL (2.64)"
2016-04-29,"TATASTEEL (10.33), MANAPPURAM (10.19), DLF (8.76), NATIONALUM (8.59), JSWSTEEL (7.61), YESBANK (6.68), BIOCON (5.00), ASHOKLEY (4.89), MARICO (4.30), BAJFINANCE (3.87), INDUSINDBK (3.29), HAVELLS (3.05), BSOFT (2.95), DELTACORP (2.60), TVSMOTOR (2.40), PETRONET (1.86)"
2016-05-31,"MANAPPURAM (4.67), VGUARD (3.53), TATAMOTORS (3.19), BIOCON (3.16), YESBANK (2.99), SHRIRAMFIN (2.79), BSOFT (2.11), TATASTEEL (2.05), HAVELLS (2.03), INDUSINDBK (1.97), BAJFINANCE (1.67), ASHOKLEY (1.45), JSWSTEEL (1.40), HDFCBANK (1.29), PIDILITIND (1.22), KOTAKBANK (1.10), RPOWER (1.01)"
2016-06-30,"MANAPPURAM (11.08), BIOCON (6.38), CGPOWER (6.09), ANANTRAJ (5.55), DELTACORP (5.32), VEDL (5.20), CENTRALBK (5.06), HINDALCO (4.68), BAJAJFINSV (4.36), CHOLAFIN (4.21), DLF (3.60), BSOFT (3.45), RCF (3.30), YESBANK (3.29), SHRIRAMFIN (3.19), CESC (3.18), DABUR (2.97), PTC (2.74), EXIDEIND (2.66), JSWENERGY (2.57), ZEEL (2.51), NTPC (2.40), TITAN (2.38), AXISBANK (2.38), ADANIENT (2.33), PETRONET (2.25), BPCL (2.24), TATAMOTORS (2.15), VOLTAS (2.11), BAJFINANCE (2.11)"
2016-07-29,"MANAPPURAM (9.31), MFSL (5.23), VEDL (5.21), ANANTRAJ (4.73), BAJFINANCE (4.61), BAJAJFINSV (4.02), BIOCON (3.70), HINDALCO (3.43), CGPOWER (3.21), SHRIRAMFIN (3.18), MOTHERSON (2.78), YESBANK (2.58), ASIANPAINT (2.54), INDHOTEL (2.47), LTFOODS (2.42), IOC (2.28), DLF (2.18), ADANIENSOL (2.14), ADANITRANS (2.14), NBCC (2.10), TATAMOTORS (2.06), AMBUJACEM (2.02), POWERGRID (2.02), NHPC (2.00), JSWSTEEL (1.95), PTC (1.95), EXIDEIND (1.92), BPCL (1.88), ZEEL (1.76), JINDALSTEL (1.74)"
