date,stocks
2016-08-31,"INDIANB (14.63), DELTACORP (8.61), BAJAJFINSV (6.24), MUTHOOTFIN (6.11), MANAPPURAM (5.85), VEDL (5.61), HINDALCO (5.08), PFC (5.07), BAJFINANCE (4.47), ANANTRAJ (4.45), RAIN (3.92), IOC (3.79), JINDALSTEL (3.48), MANINFRA (3.39), HINDZINC (3.26), SRF (3.24), YESBANK (3.20), TITAGARH (3.13), FEDERALBNK (3.10), CENTRALBK (3.06), TATACHEM (2.86), PETRONET (2.84), BIOCON (2.75), NBCC (2.70), JSWSTEEL (2.60), CGPOWER (2.59), ADANIENSOL (2.44), ADANITRANS (2.44), PTC (2.29), BPCL (2.27)"
2016-09-30,"IDFCFIRSTB (12.92), GLOBUSSPR (12.91), DELTACORP (12.64), APOLLOTYRE (7.62), PFC (7.09), CANBK (6.94), RECLTD (6.53), SRF (5.97), PNB (5.54), MANAPPURAM (5.51), BAJAJFINSV (5.43), IOC (5.41), NBCC (5.41), BAJFINANCE (5.40), VEDL (5.12), HINDZINC (4.93), RADICO (4.87), DCBBANK (4.85), BIOCON (4.37), CASTROLIND (4.27), FEDERALBNK (4.21), HINDALCO (4.10), UPL (3.79), CHOLAFIN (3.71), TATACHEM (3.69), ZEEL (3.33), AEGISLOG (3.29), ONGC (3.15), TVSMOTOR (3.07), TATACOMM (2.99)"
2016-10-28,"DELTACORP (47.36), GNFC (36.85), IDFCFIRSTB (26.56), RADICO (25.36), RAIN (23.98), TATACOMM (20.17), TVSMOTOR (18.66), ADANIPORTS (17.13), RAYMOND (14.72), PETRONET (14.53), ONGC (13.98), VGUARD (13.95), GSFC (13.68), SRF (13.07), RECLTD (12.84), NMDC (12.73), MANAPPURAM (12.73), BAJAJFINSV (12.72), FEDERALBNK (12.49), DCBBANK (12.30), HINDZINC (11.73), CANBK (10.19), IOC (10.17), MANINFRA (9.38), VEDL (9.22), ADANIENSOL (7.64), ADANITRANS (7.64), TATASTEEL (7.50), BPCL (6.89), UPL (6.79)"
2016-11-30,CGPOWER (1.08)
2016-12-30,
2017-01-31,
2017-02-28,"NFL (13.79), LTFOODS (10.30), JINDALSTEL (7.40), RAIN (6.91), ADANIENT (4.83), CESC (4.21), TITAN (4.10), DCBBANK (4.09), ADANIPOWER (4.01), GMRINFRA (3.80), MANAPPURAM (3.31), RCF (3.27), BAJAJFINSV (3.18), DLF (3.17), CHAMBLFERT (3.11), IOC (2.72), BHEL (2.63), BIOCON (2.62), YESBANK (2.54), BAJFINANCE (2.51), DELTACORP (2.49), RELIANCE (2.45), INDUSINDBK (2.40), FEDERALBNK (2.39), PTC (2.37), VOLTAS (2.32), GAIL (2.29), NMDC (2.16), RAYMOND (2.15), HAVELLS (2.07)"
2017-03-31,
2017-04-28,
2017-05-31,"ADANIENSOL (11.51), ADANITRANS (11.51), CHAMBLFERT (5.88), RCF (5.85), MANINFRA (5.14), SOUTHBANK (4.21), LICHSGFIN (3.71), LTFOODS (3.68), VOLTAS (3.63), MOTHERSON (3.44), FEDERALBNK (3.31), DHANBANK (3.27), TVSMOTOR (3.07), COFORGE (3.07), NETWORK18 (2.86), HINDUNILVR (2.79), DCBBANK (2.70), APOLLOTYRE (2.62), KOTAKBANK (2.46), HAVELLS (2.40), UPL (2.39), LT (2.38), BAJFINANCE (2.37), DLF (2.32), ITC (2.27), CANBK (2.25), ICICIBANK (2.18), HDFCBANK (2.13), CROMPTON (2.09), GRASIM (2.00)"
2017-06-30,"ADANIENSOL (20.43), ADANITRANS (20.43), DHANBANK (10.64), COFORGE (8.43), SOUTHBANK (8.33), MANINFRA (7.49), KARURVYSYA (6.99), TVSMOTOR (5.85), ADANIENT (5.70), FEDERALBNK (5.48), MOTHERSON (4.95), SAREGAMA (4.70), GMRINFRA (4.54), LICHSGFIN (4.33), DCBBANK (4.04), UPL (3.96), HINDUNILVR (3.92), NBCC (3.85), ZYDUSLIFE (3.73), GRASIM (3.66), BAJFINANCE (3.66), ABFRL (3.34), TITAN (3.30), ITC (3.25), TATASTEEL (3.21), ICICIBANK (3.02), HDFCBANK (2.85), VOLTAS (2.39), KOTAKBANK (2.36), MFSL (2.29)"
2017-07-31,
2017-08-31,"GRAPHITE (30.80), SAREGAMA (22.14), JUBLFOOD (12.73), BEML (10.76), HFCL (9.50), RAIN (9.16), BAJFINANCE (8.32), BAJAJFINSV (7.59), JSWSTEEL (7.58), TITAN (7.27), VEDL (7.15), PTC (6.58), GRASIM (6.43), TATASTEEL (6.41), BATAINDIA (6.04), DELTACORP (6.02), KARURVYSYA (5.52), HINDZINC (5.47), YESBANK (5.46), ADANIPOWER (4.95), RELIANCE (4.60), CHAMBLFERT (4.56), HINDALCO (4.51), AMBUJACEM (3.93), ADANIPORTS (3.86), BHARTIARTL (3.67), MANINFRA (3.38), CONCOR (3.34), ADANIENT (3.27), ASHOKLEY (3.24)"
2017-09-29,"GRAPHITE (35.97), HFCL (27.54), RAIN (16.15), JUBLFOOD (12.80), RADICO (9.97), BAJFINANCE (9.32), NITCO (9.23), ASHOKLEY (8.81), PTC (8.26), DELTACORP (7.27), HINDALCO (6.99), VEDL (6.97), TATASTEEL (6.10), JSWSTEEL (5.83), TVSMOTOR (5.68), NATIONALUM (5.57), TORNTPOWER (5.23), CONCOR (5.22), GAIL (4.35), MINDACORP (4.24), GNFC (4.08), JSWENERGY (3.84), CESC (3.83), INDUSINDBK (3.80), RAYMOND (3.48), MOTHERSON (2.88), HDFCBANK (2.38), PETRONET (2.00), TATACHEM (1.96), NESTLEIND (1.93)"
2017-10-31,"GRAPHITE (34.48), RAIN (26.50), GNFC (18.17), SAREGAMA (16.64), ADANIENSOL (16.19), ADANITRANS (16.19), HFCL (15.26), DELTACORP (13.54), RADICO (13.41), TORNTPOWER (11.98), NATIONALUM (9.03), COFORGE (7.64), DIVISLAB (7.60), PETRONET (6.69), NBCC (5.89), TATASTEEL (5.88), JUBLFOOD (5.83), GAIL (5.73), SAIL (5.69), JUSTDIAL (5.63), HINDALCO (5.31), PNB (5.24), JSWENERGY (5.18), CONCOR (5.09), VGUARD (5.01), ASHOKLEY (4.84), BHARTIARTL (4.56), VEDL (4.53), TATACHEM (4.45), TITAGARH (4.29)"
2017-11-30,"RAIN (26.07), GRAPHITE (21.76), SAREGAMA (18.03), MINDACORP (14.54), RADICO (12.29), HFCL (12.26), TITAGARH (11.83), PRAJIND (11.50), GNFC (9.23), SONATSOFTW (9.09), DIVISLAB (8.49), BSOFT (7.99), JUSTDIAL (7.18), DELTACORP (6.84), TEXRAIL (6.47), SHRIRAMFIN (6.37), INDIANB (6.22), TORNTPOWER (6.20), TITAN (5.98), JUBLFOOD (5.28), DLF (4.84), NBCC (4.82), COFORGE (4.80), RAYMOND (4.67), JSWENERGY (4.54), BIOCON (4.53), JINDALSTEL (4.47), VGUARD (4.37), SAIL (4.28), PNB (4.16)"
2017-12-29,"RAIN (10.67), SAREGAMA (9.50), GRAPHITE (8.79), SONATSOFTW (8.58), RADICO (7.37), SAIL (6.93), PRAJIND (6.18), GNFC (6.08), BIOCON (5.96), DELTACORP (5.67), DLF (5.59), JINDALSTEL (5.05), BSOFT (4.77), TITAN (4.52), ADANIENSOL (4.51), ADANITRANS (4.51), LTFOODS (4.23), ADANIENT (4.16), ADANIPOWER (3.97), SHRIRAMFIN (3.91), TITAGARH (3.69), GMRINFRA (3.56), BHARTIARTL (3.48), NETWORK18 (3.36), TORNTPOWER (3.33), VGUARD (3.26), ANANTRAJ (2.93), RAYMOND (2.92), VOLTAS (2.86), SRF (2.76)"
2018-01-31,"BIOCON (11.97), SONATSOFTW (11.28), RADICO (10.91), JINDALSTEL (10.66), ADANIENT (10.28), GRAPHITE (8.86), BSOFT (7.19), VBL (6.27), TITAN (6.20), SWANENERGY (5.69), LTFOODS (5.47), DELTACORP (5.09), TECHM (4.56), COFORGE (4.45), JUBLFOOD (4.23), INFY (4.17), DLF (4.07), INDHOTEL (3.70), TCS (3.13), RAYMOND (2.97), ICICIBANK (2.96), LT (2.67), HCLTECH (2.57), APLAPOLLO (2.52), SAIL (2.35), M&M (2.27), AXISBANK (2.26), GMRINFRA (2.23), GODREJCP (2.15), YESBANK (2.15)"
2018-02-28,"JINDALSTEL (574.97), BIOCON (557.79), ADANIENT (447.44), SONATSOFTW (432.92), LTFOODS (407.89), COFORGE (372.39), DELTACORP (357.64), KEC (335.72), IPCALAB (290.33), TECHM (275.22), JSWSTEEL (269.33), RADICO (264.02), BSOFT (258.54), CHAMBLFERT (240.66), INFY (232.34), ASHOKLEY (201.59), CHOLAFIN (180.52), INDHOTEL (176.33), JUBLFOOD (162.39), TCS (158.58), COALINDIA (154.44), HCLTECH (114.85), VEDL (108.37), HINDZINC (98.14), APOLLOTYRE (84.16), PIDILITIND (74.88), KOTAKBANK (71.76), VGUARD (46.16), NESTLEIND (42.85), RELIANCE (14.46)"
2018-03-28,
2018-04-30,"SAIL (5.83), DLF (4.79), PRAJIND (4.42), GMRINFRA (2.78), JINDALSTEL (2.39), HFCL (2.21), ADANIPORTS (1.93), VBL (1.81), JSWENERGY (1.15), MOTHERSON (1.05), HDFCBANK (1.01)"
2018-05-31,"COFORGE (58.68), RADICO (56.76), GRAPHITE (54.98), JUSTDIAL (51.29), BAJFINANCE (49.62), PIDILITIND (49.36), BSOFT (48.91), MPHASIS (48.66), M&M (46.30), EXIDEIND (43.70), NESTLEIND (42.25), JUBLFOOD (40.43), KOTAKBANK (38.78), HINDUNILVR (38.62), BERGEPAINT (34.49), BAJAJFINSV (33.98), DABUR (31.05), VBL (30.47), ASIANPAINT (28.98), DMART (28.79), INDUSINDBK (28.32), TECHM (28.20), SAREGAMA (25.71), TCS (25.52), HDFCBANK (23.47), GNFC (17.48), HAVELLS (12.46), JSWSTEEL (10.93), CONCOR (9.95), BIOCON (9.72)"
2018-06-29,
2018-07-31,"BAJFINANCE (25.53), ADANIENT (24.35), BAJAJFINSV (16.80), RELIANCE (14.25), ASIANPAINT (12.81), SBIN (11.78), HAVELLS (9.81), GAIL (9.49), VBL (9.29), BSOFT (9.20), HINDUNILVR (9.10), DABUR (8.70), INFY (8.51), BATAINDIA (8.16), EXIDEIND (7.81), HDFCBANK (7.45), INDIANB (6.94), JUBLFOOD (6.54), BERGEPAINT (6.20), TCS (6.08), MARICO (5.85), RBLBANK (4.92), M&M (4.42), ICICIBANK (4.35), ITC (3.56), CIPLA (3.44), COFORGE (3.44), INDUSINDBK (3.15), BANKBARODA (1.82), JSWSTEEL (1.02)"
2018-08-31,"ADANIENT (11.86), BATAINDIA (5.35), SUNPHARMA (4.94), BAJFINANCE (4.87), RELIANCE (4.79), ABFRL (4.66), HAVELLS (4.58), INTELLECT (4.17), CIPLA (3.60), COFORGE (3.57), WELCORP (3.44), DABUR (3.43), DIVISLAB (3.40), APOLLOHOSP (3.37), GLENMARK (3.33), JUBLFOOD (3.24), RBLBANK (2.97), LUPIN (2.88), NESTLEIND (2.75), ICICIBANK (2.74), JSWSTEEL (2.67), TCS (2.67), AXISBANK (2.61), ITC (2.44), INFY (2.34), GMRINFRA (2.24), HCLTECH (2.06), MARICO (2.04), GRAPHITE (1.93), BERGEPAINT (1.69)"
2018-09-28,"RELIANCE (37.87), ABFRL (37.80), DIVISLAB (35.52), WIPRO (29.75), AUROPHARMA (27.37), AXISBANK (24.62), SONATSOFTW (24.56), HCLTECH (22.40), TCS (21.16), JSWSTEEL (21.01), INFY (15.11), TECHM (13.98), BIOCON (13.86), GLENMARK (11.87), DRREDDY (11.70), SUNPHARMA (11.27), CIPLA (10.11)"
2018-10-31,
2018-11-30,"DABUR (1.70), BAJAJFINSV (1.55), BAJFINANCE (1.53), RBLBANK (1.44)"
2018-12-31,
2019-01-31,"AXISBANK (8.42), MUTHOOTFIN (7.69), PRAJIND (6.60), ABFRL (5.71), RELIANCE (5.46), DABUR (5.35), ASIANPAINT (5.18), NESTLEIND (4.65), KOTAKBANK (4.27), WIPRO (4.01), HAVELLS (3.66), INFY (3.22), PFC (2.95), RBLBANK (2.94), BAJFINANCE (2.82), DRREDDY (2.45), COFORGE (2.37), SBIN (1.52), TCS (1.37)"
2019-02-28,ADANIPOWER (27.90)
2019-03-29,
2019-04-30,"INDIGO (3.32), UPL (3.00), SRF (2.98), ONGC (2.41), RBLBANK (2.35), BAJAJFINSV (2.32), DCBBANK (2.25), TITAN (2.23), DHANBANK (2.22), BAJFINANCE (2.20), RECLTD (2.02), ACC (2.02), TECHM (1.94), RELIANCE (1.88), HCLTECH (1.85), ADANIPORTS (1.84), INDHOTEL (1.80), PFC (1.70), TCS (1.60), HDFCBANK (1.58), ICICIBANK (1.30), VOLTAS (1.29), PIDILITIND (1.28), AXISBANK (1.25), DRREDDY (1.15), WIPRO (1.09), ITC (1.07)"
2019-05-31,"INDIGO (5.16), JUSTDIAL (5.06), SBIN (3.27), BAJFINANCE (3.26), DCBBANK (2.98), SIEMENS (2.98), FEDERALBNK (2.96), BAJAJFINSV (2.82), ICICIGI (2.78), KOTAKBANK (2.69), SRF (2.54), MUTHOOTFIN (2.45), ICICIBANK (2.22), TITAN (2.17), LT (2.16), ADANIENT (2.12), MANAPPURAM (2.03), RBLBANK (2.00), VGUARD (1.92), HDFCBANK (1.77), VBL (1.62), AXISBANK (1.47), UPL (1.46), PIDILITIND (1.26), PFC (1.14), TCS (1.13)"
2019-06-28,"JUSTDIAL (41.63), SRF (41.38), BAJFINANCE (39.22), BAJAJFINSV (38.77), TITAN (30.30), SBILIFE (29.91), VBL (28.23), FEDERALBNK (27.01), DCBBANK (26.90), APOLLOHOSP (25.55), PFC (24.37), SBIN (22.71), TORNTPOWER (21.47), LT (20.59), TCS (19.45), RECLTD (17.86), KOTAKBANK (17.44), VGUARD (16.99), MANAPPURAM (16.30), ADANIPOWER (16.27), ICICIBANK (15.65), HDFCBANK (10.49), INDHOTEL (6.32), AXISBANK (6.12), HAVELLS (5.77), CANFINHOME (5.23), BPCL (2.93)"
2019-07-31,
2019-08-30,BEL (1.08)
2019-09-30,
2019-10-31,"ADANIGREEN (12.86), BERGEPAINT (8.32), ADANIENT (7.72), BPCL (7.35), MANAPPURAM (6.89), SIEMENS (6.27), GMRINFRA (5.44), EICHERMOT (5.31), JUBLFOOD (4.67), COFORGE (4.02), NESTLEIND (3.93), BANDHANBNK (3.84), ICICIPRULI (3.80), HDFCLIFE (3.77), TITAN (3.65), HINDUNILVR (3.65), RELIANCE (3.59), SBILIFE (3.41), BAJFINANCE (3.35), BEML (3.23), VOLTAS (3.02), PETRONET (2.96), ASIANPAINT (2.66), CHOLAFIN (2.45), BEL (2.11), CONCOR (2.10), BAJAJFINSV (2.05), PIDILITIND (1.82), HCLTECH (1.74), ICICIGI (1.57)"
2019-11-29,"ADANIGREEN (21.19), JINDALSTEL (6.99), ADANIENT (6.12), HDFCAMC (4.46), GMRINFRA (4.42), BPCL (4.37), EICHERMOT (3.76), JUBLFOOD (3.40), BERGEPAINT (3.35), DLF (3.25), BAJAJFINSV (3.00), BHARTIARTL (2.83), ICICIBANK (2.63), MANAPPURAM (2.57), RELIANCE (2.45), BANDHANBNK (2.44), AUBANK (2.41), SBIN (2.41), BAJFINANCE (2.30), ABCAPITAL (2.30), ICICIPRULI (1.86), ABFRL (1.84), MFSL (1.79), WELCORP (1.67), SRF (1.65), CHOLAFIN (1.64), SHRIRAMFIN (1.62), SBILIFE (1.47), HDFCBANK (1.42), NESTLEIND (1.34)"
2019-12-31,"ADANIGREEN (32.64), DLF (8.50), NMDC (7.96), ADANIENT (7.53), EICHERMOT (4.70), MANAPPURAM (4.50), MFSL (4.43), SRF (4.37), ICICIBANK (4.26), BHARTIARTL (4.25), GMRINFRA (4.13), SBIN (4.08), JUBLFOOD (3.79), BERGEPAINT (3.26), COFORGE (2.46), RELIANCE (2.40), VBL (2.38), TATACHEM (2.33), HINDALCO (2.28), GATEWAY (2.26), MUTHOOTFIN (2.22), BAJAJFINSV (1.82), NESTLEIND (1.13), DRREDDY (1.12)"
2020-01-31,"ADANIGREEN (62.72), AUBANK (31.15), DLF (23.74), BHARTIARTL (18.42), COFORGE (14.34), VBL (13.36), CANFINHOME (12.75), TATACHEM (11.19), JUBLFOOD (10.19), LAURUSLABS (9.23), BAJAJFINSV (9.06), ADANIENT (8.42), ANANTRAJ (7.69), DRREDDY (6.71), RAIN (6.24), MANAPPURAM (6.23), TORNTPOWER (5.97), IRCON (5.75), GMRINFRA (5.71), BAJFINANCE (4.74), PIDILITIND (4.44), KOTAKBANK (4.20), CHOLAFIN (4.17), DABUR (4.13), BERGEPAINT (3.55), NESTLEIND (1.56)"
2020-02-28,
2020-03-31,
2020-04-30,
2020-05-29,
2020-06-30,"RPOWER (9.94), ADANIGREEN (5.64), APOLLO (5.52), RCOM (5.42), NETWORK18 (5.13), IDBI (5.12), GLENMARK (5.09), LTFOODS (5.00), JINDALSTEL (3.98), AUROPHARMA (3.84), NFL (3.35), SPARC (3.29), BDL (3.26), MUTHOOTFIN (3.03), IOB (2.86), RCF (2.79), RELIANCE (2.62), LUPIN (2.45), LAURUSLABS (2.44), MANAPPURAM (2.32), BSOFT (2.13), CIPLA (1.89), BIOCON (1.62), ADANIENSOL (1.60), ADANITRANS (1.60), GODREJCP (1.57), ZYDUSLIFE (1.57), TATACHEM (1.53), EICHERMOT (1.47), MFSL (1.42)"
2020-07-31,"RCOM (15.67), LTFOODS (10.92), JINDALSTEL (7.41), LAURUSLABS (6.43), IDBI (6.30), NETWORK18 (6.29), BDL (6.10), APOLLO (5.78), HAL (5.13), BSOFT (5.10), COFORGE (4.70), MUTHOOTFIN (3.73), WIPRO (3.69), RPOWER (3.41), RELIANCE (3.32), NFL (3.17), EICHERMOT (3.16), AUROPHARMA (3.11), HIKAL (3.03), AUBANK (2.82), INFY (2.74), IOB (2.70), GLENMARK (2.68), SPARC (2.65), HCLTECH (2.33), AMBUJACEM (2.21), GMRINFRA (2.13), DEEPAKNTR (2.12), SBILIFE (2.00), CIPLA (1.73)"
2020-08-31,
2020-09-30,"CGPOWER (17.61), LAURUSLABS (17.24), BSOFT (11.56), ADANIGREEN (10.32), ADANIENT (8.81), APLAPOLLO (8.59), DEEPAKNTR (7.12), COFORGE (6.33), APOLLOHOSP (5.78), HIKAL (5.13), NATCOPHARM (4.94), JSWSTEEL (4.56), HCLTECH (4.47), WIPRO (4.18), SYNGENE (3.71), INFY (3.62), GNFC (3.50), JUBLFOOD (3.49), DIVISLAB (3.30), DRREDDY (3.08), RELIANCE (3.04), LTFOODS (2.95), HEROMOTOCO (2.30), BSE (2.25), CROMPTON (2.20), CIPLA (2.05), TCS (1.93), BERGEPAINT (1.78), TORNTPHARM (1.76), ASIANPAINT (1.73)"
2020-10-30,"CGPOWER (41.52), LAURUSLABS (16.77), ADANIENT (15.45), JUSTDIAL (13.24), JSWSTEEL (7.25), ASIANPAINT (4.41), HAVELLS (4.24), APOLLOHOSP (3.86), CROMPTON (3.64), HCLTECH (3.46), WIPRO (3.27), BERGEPAINT (3.02), SRF (2.87), AMBUJACEM (2.85), TCS (2.78), PIDILITIND (2.69), ZYDUSLIFE (2.34), ACC (2.29), INFY (1.69), DRREDDY (1.35)"
2020-11-27,"ADANIGREEN (13.68), CGPOWER (8.62), CHOLAFIN (5.16), JUSTDIAL (5.09), APOLLOHOSP (3.56), ADANIENT (3.28), APOLLOTYRE (3.04), TATASTEEL (2.97), KOTAKBANK (2.89), LAURUSLABS (2.78), HDFCBANK (2.49), WIPRO (2.42), GRASIM (2.34), INDIGO (2.33), ASHOKLEY (2.28), MOTHERSON (2.24), COFORGE (2.00), HAVELLS (1.91), ACC (1.83), VOLTAS (1.82), SRF (1.78), JSWSTEEL (1.77), BALKRISIND (1.71), TITAN (1.65), TECHM (1.62), TCS (1.61), TATACHEM (1.61), AMBUJACEM (1.51), ADANIPORTS (1.46), INFY (1.36)"
2020-12-31,"SAIL (5.13), CGPOWER (3.75), TATASTEEL (3.39), INDUSINDBK (2.99), SHRIRAMFIN (2.96), JUSTDIAL (2.86), GODREJPROP (2.85), HFCL (2.69), BAJFINANCE (2.64), ADANIENT (2.64), PRAJIND (2.59), TATACHEM (2.55), BEML (2.52), KOTAKBANK (2.46), CHOLAFIN (2.39), GRAPHITE (2.37), DLF (2.25), INDIANB (2.24), BAJAJFINSV (2.24), ICICIBANK (2.18), SBIN (2.07), BANDHANBNK (2.03), AXISBANK (1.98), DELTACORP (1.95), CANBK (1.94), CHAMBLFERT (1.90), MOTHERSON (1.88), LT (1.84), JINDALSTEL (1.83), GAIL (1.80)"
2021-01-29,"ANANTRAJ (7.21), TATAMOTORS (5.57), SHRIRAMFIN (4.76), GRAPHITE (4.43), TATAELXSI (4.40), GATEWAY (4.24), RVNL (3.99), HFCL (3.93), VEDL (3.87), DLF (3.75), NATIONALUM (3.33), CHOLAFIN (3.32), BANKBARODA (3.28), IDFCFIRSTB (3.06), ADANIENT (3.03), CANBK (3.03), INDIANB (2.92), CUMMINSIND (2.86), GAIL (2.82), BEL (2.81), SBIN (2.78), ADANIPORTS (2.74), PRAJIND (2.72), TATACHEM (2.57), CROMPTON (2.55), TATAPOWER (2.51), HAVELLS (2.47), ADANIPOWER (2.46), BSOFT (2.43), LT (2.40)"
2021-02-26,"IIFL (11.26), ADANIENT (7.61), ADANIENSOL (7.50), ADANITRANS (7.50), INDIANB (7.28), GRAPHITE (6.86), PRAJIND (6.70), TATACHEM (6.58), TATAMOTORS (6.08), IDFCFIRSTB (5.47), VEDL (5.28), DEEPAKNTR (4.95), GREENPLY (4.81), NBCC (4.79), BANKBARODA (4.74), ADANIPORTS (4.59), SAIL (4.56), DLF (4.53), RCF (4.42), IOB (4.39), HFCL (4.35), NATIONALUM (4.19), KARURVYSYA (4.18), SBIN (4.17), CANBK (4.05), NFL (3.96), CENTRALBK (3.87), ABCAPITAL (3.80), TATAPOWER (3.73), RVNL (3.70)"
2021-03-31,"INTELLECT (19.53), ADANIENT (16.66), ADANIENSOL (15.59), ADANITRANS (15.59), SAREGAMA (13.17), DEEPAKNTR (10.99), ADANIPOWER (10.25), GRAPHITE (9.97), PRAJIND (9.95), NBCC (8.77), CUMMINSIND (8.70), TATACHEM (8.32), GRASIM (8.16), CONCOR (7.21), IOB (7.17), CGPOWER (7.12), ADANIPORTS (6.55), RCF (6.44), CHOLAFIN (6.39), AUBANK (6.37), NFL (6.30), VEDL (6.04), ABCAPITAL (5.84), UPL (5.45), TATAPOWER (5.28), JUSTDIAL (5.26), SHRIRAMFIN (5.20), HINDALCO (5.20), BHEL (5.18), GNFC (4.93)"
2021-04-30,
2021-05-31,
2021-06-30,"RPOWER (26.21), HFCL (18.79), RCOM (15.91), NEWGEN (13.92), GLOBUSSPR (12.89), JSWENERGY (10.52), LAURUSLABS (10.40), PRAJIND (10.33), IOB (8.72), INDBANK (8.59), CENTRALBK (8.32), SAIL (7.42), GATEWAY (7.20), SOUTHBANK (6.89), BSE (6.74), SPARC (6.68), BSOFT (6.63), TITAGARH (6.47), THYROCARE (5.72), ZYDUSLIFE (5.53), ADANIENT (5.27), TATASTEEL (5.23), NATIONALUM (5.08), MANINFRA (4.79), ICICIPRULI (4.78), BEL (4.73), GSFC (4.73), GLENMARK (4.71), COFORGE (4.61), NMDC (4.44)"
2021-07-30,"HFCL (16.13), JSWENERGY (12.41), BSE (10.26), HAPPSTMNDS (8.37), COFORGE (7.34), TITAGARH (6.55), MANINFRA (6.52), BSOFT (6.04), IOB (5.30), SPARC (5.25), CENTRALBK (4.67), MPHASIS (4.50), RAIN (4.38), NATIONALUM (4.24), GODREJCP (4.07), LAURUSLABS (3.97), CHAMBLFERT (3.83), BEL (3.82), MANAPPURAM (3.72), TATASTEEL (3.68), TEXRAIL (3.66), CESC (3.61), RAYMOND (3.53), DLF (3.48), SRF (3.29), MUTHOOTFIN (3.27), AMBUJACEM (3.14), MARICO (3.13), GABRIEL (2.97), MAXHEALTH (2.91)"
2021-08-31,"JSWENERGY (12.41), MAXHEALTH (7.30), TITAGARH (6.57), HIKAL (6.01), APOLLOHOSP (5.65), SRF (5.54), COFORGE (4.73), BAJAJFINSV (4.50), IRCTC (4.44), TECHM (4.15), HAL (3.46), SPARC (3.38), MANINFRA (3.37), BAJFINANCE (3.35), BSOFT (3.16), PRESTIGE (2.89), AMBUJACEM (2.87), TATASTEEL (2.87), JUBLFOOD (2.83), BEL (2.82), GODREJCP (2.82), RAIN (2.81), DEEPAKNTR (2.78), LAURUSLABS (2.71), CUMMINSIND (2.68), VBL (2.54), HCLTECH (2.50), BSE (2.44), BHARTIARTL (2.40), SONATSOFTW (2.40)"
